Id,English lemmas,English gloss,English examples,Arabic lemmas (by the translator),Arabic gloss,Arabic exampes,Deleted lemmas,New lemmas,Phrase,(Synset after cleaning_cleaned lemmas) or GAP
1974362,"rise, uprise, ascend, come up","come up, of celestial bodies",The sun also rises; The sun uprising sees the dusk night fled...; Jupiter ascends,"[صَعِدَ], إِرْتَفَعَ, طَلَعَ, [بَزَغَ],[ أَشْرَقَ]",يتحرك في السماء نحو الأعلى,ارتفعت الشمس في السماء. طلع القمر مضيئاً," صَعِدَ ,  بَزَغَ ,  أَشْرَقَ ",,,"إِرْتَفَعَ, طَلَعَ"
1974840,"go down, come down, descend, fall","move downward and lower, but not necessarily all the way",The temperature is going down; The barometer is falling; The curtain fell on the diva; Her hand went up and then fell again,"[اِنْحَدَرَ], هَبَطَ, نَزَل",يتحرك نحو الأسفل أو ينخفض,هبط الليل. هبطت درجات الحرارة ليلاً. نزل الصبي على الدرج. , اِنْحَدَرَ ,,,"هَبَطَ, نَزَل"
1975943,"sink, subside",descend into or as if into some soft substance or place,He sank into bed; She subsided into the chair,"[سَقَطَ],[ سَقَطَ عَلَى]، ( غرق)",يهبط داخل مادة أو مكان طري,غرق في سريره المريح. أغرقت نفسها في العشب وتأملت السماء," سَقَطَ ,  سَقَطَ عَلَى ",  غرق ,, غرق
1976312,fall,descend in free fall under the influence of gravity,The branch fell from the tree; The unfortunate hiker fell into a crevasse,سَقَطَ,يهبط بطريقة السقوط الحر بتأثير الجاذبية,سقط الكأس من يدها,,,,سَقَطَ
1977139,"bring down, take down, let down, get down, lower",move something or somebody to a lower position,take down the vase from the shelf,"[أَوْطَأَ], [نَزَّلَ],[ خَفَّضَ]،( أنزل)",يتسبب في تحريك شيء أو شخص إلى موضع أكثر انخفاضاً,أنزلت الكتاب عن الرف لتقرأه," أَوْطَأَ ,  نَزَّلَ ,  خَفَّضَ ",  أنزل ,, أنزل
1978076,"raise, elevate, bring up, lift, get up",raise from a lower to a higher position,Raise your hands; Lift a load,"[حَمَلَ], رَفَعَ,[ أَنْهَضَ], [نَهَضَ]",يحرك شيئاً من موقع أدنى إلى موقع أعلى,ارفع يدك إذا أردت الإجابة. هل ترفع الطاولة معي من فضلك," حَمَلَ ,   أَنْهَضَ ,  نَهَضَ ",,,رَفَعَ
1980103,"gather up, pick up, lift up",take and lift upward,,"اِلْتَقَطَ, [جَمَعَ]",يجمع الأشياء ويرفعها للأعلى,التقط الجنود أسلحتهم ومضوا إلى القتال, جَمَعَ ,,,اِلْتَقَطَ
1980502,"tumble, topple","fall down, as if collapsing",The tower of the World Trade Center tumbled after the plane hit it,"تَدَاعَى, [سَقَطَ], [وَقَعَ], إِنْهَارَ",يسقط بسرعة دون القدرة على التحكم به,تداعى بعض المنازل إثر الفيضان. انهار السد,"  سَقَطَ ,  وَقَعَ ",,,"تَدَاعَى, إِنْهَارَ"
1980855,drop,to fall vertically,the bombs are dropping on enemy targets,"سَقَطَ, وَقَعَ, [نَزَلَ]",يقع عمودياً,سقطت القنابل من الطائرات المحلقة. وقع القلم على الأرض, نَزَلَ ,,,"سَقَطَ, وَقَعَ"
1981715,drop,let fall to the ground,Don't drop the dishes,"أَسْقَطَ, أَوْقَعَ",يُسقط الشيء أرضاً,"انتبه، ستُسقط الكأس من يدك",,,,"أَسْقَطَ, أَوْقَعَ"
1987278,"arise, uprise, stand up, rise, get up",rise to one's feet,The audience got up and applauded,"[إِنْتَفَضَ قَائِمَاً], [إِنْتَصَبَ وَاقِفَاً], [نَهَضَ],[ وَقَفَ مُنْتَصِبَاً], [إِنْتَصَبَ], [قَامَ], وَقَفَ",يرتفع واقفاً مستنداً على قدميه دون أن يحني جسده,وقف التلاميذ عند دخول المعلم. ," إِنْتَفَضَ قَائِمَاً ,  إِنْتَصَبَ وَاقِفَاً ,  نَهَضَ ,  وَقَفَ مُنْتَصِبَاً ,  إِنْتَصَبَ ,  قَامَ ",,,وَقَفَ
1987785,change posture,undergo a change in bodily posture,,غَيَّرَ جَلْسَتَه,يقوم بتغيير في وضعية جسده الأساسية,يجب أن تغير جلستك كل حين حتى لا تصاب بآلام الظهر,,,,غَيَّرَ جَلْسَتَه
1988916,"sit down, sit",take a seat,,"جَلَسَ, قَعَدَ",يحرك جسده بحيث يجعل الجزء الأسفل مستقراً على كرسي أو على الأرض وظهره منتصباً,ليجلس كلٌ في مقعده. قعدتُ على الكرسي لأرتاح قليلاً,,,,"جَلَسَ, قَعَدَ"
1989043,"lie down, lie",assume a reclining position,lie down on the bed until you feel better,"تَمَدَّدَ, إٍسْتَلْقَى, [إِضْطَجَعَ]",يتخذ وضعية تمديد الجسد على سطح كالسرير,تمدد على سريره بعد يوم شاق. سأستلقي هنا لأنام قليلاً, إِضْطَجَعَ ,,,"تَمَدَّدَ, إٍسْتَلْقَى"
1990883,sink,cause to sink,The Japanese sank American ships in Pearl Harbor,"أَغْرَقَ, [غَطَّسَ]",يغمر الشيء أو الشخص بالماء حتى يغطيه تماماً,أغرقت الطائرات سفينتين حربيتين,  غَطَّسَ ,,,أَغْرَقَ
1991174,position,"cause to be in an appropriate place, state, or relation",,وَضَعَ,يجعل شيئاً أو شخصاً في مكان أو مستوى أو حالة معينة,وضع الكراسي حول المائدة. وضَع الشركة في السوق العالمية,,,,وَضَعَ
1991795,"glycerolize, glycerolise",place in glycerol,,[غَسْرِلَ] ,يعالج بالغليسيرين ( سائل لزج كحولي سكري) أو يحفظ فيه,تُخلط خلايا الدم الحمراء بالحليسيرين قبل تجميدها لحفظها, غَسْرِلَ  ,,خَلطَ بالجِلْسرين,GAP
1992472,"settle, settle down","settle into a position, usually on a surface or ground",dust settled on the roofs,"حَلَّ, [سَقَطَ], [إِسْتَوْطَنَ], اِسْتَقَرَّ","يثبت في مكان معين، عادة على سطح أو على الأرض",حلَّ الغبار على السيارات بعد هبوب الرياح. استقرت الشوائب في قعر الوعاء," سَقَطَ ,  إِسْتَوْطَنَ ",,,"حَلَّ, اِسْتَقَرَّ"
1993887,"go down, settle, go under, sink",go under,The raft sank and its occupants drowned,"غَارَ, [نَزَلَ], [غَطَسَ], غَرِقَ, [هَمَدَ], [غَاصَ]",يذهب أسفل شيء ما ويختفي,غارت المياه في جوف الأرض. غرقت السفينة في البحر,"  نَزَلَ ,  غَطَسَ ,  هَمَدَ ,  غَاصَ ",,,"غَارَ, غَرِقَ"
1994295,"rise, surface, rise up, come up",come to the surface,,"ظَهَرَ, [إِرْتَفَعَ], [طَلَعَ],[ تَصَاعَدَ]",يصعد إلى سطح شيء ما,ظهرت الغواصة على مسافة قريبة من الساحل. ظهرت بقايا السفينة الغارقة على سطح البحر," إِرْتَفَعَ ,  طَلَعَ ,  تَصَاعَدَ ",,,ظَهَرَ
1996535,"go on, progress, move on, pass on, march on, advance","move forward, also in the metaphorical sense",Time marches on,"[تَحَسَّنَ], وَاصَلَ, [أَحْرَزَ تَقَدُّمَاُ],[ مَرَّ], إِسْتَمَرَّ, [تَقَدَّمَ]","يمضي قدماً ولا يتوقف عند نقطة معينة، وكذلك بالمعنى المجازي",واصلت حياتها بعد طلاقها ولم تتأثر. سأدع هذه القضية جانباً وأستمر في متابعة الأولويات," تَحَسَّنَ ,  أَحْرَزَ تَقَدُّمَاُ ,  مَرَّ ,  تَقَدَّمَ ",,,"وَاصَلَ , إِسْتَمَرَّ"
1997958,"advance, bring forward",cause to move forward,Can you move the car seat forward?,[قَدَّمَ] ,يُحرّك شيئاً باتجاه الأمام.,سأقدم الكرسي للأمام حتى أنظف تحته, قَدَّمَ  ,,قَدَّمَ إِلى الأَمَام,GAP
1998474,"recede, withdraw, pull away, pull back, retire, move back, retreat, draw back",pull back or move away or backward,The enemy withdrew; The limo pulled away from the curb,"اِنْسَحَبَ, تَرَاجَعَ",يتحرك بعيداً أو باتجاه الخلف,انسحب العدو من المعركة بعد أن شعر بالهزيمة. تراجعت السيارة إلى الوراء لتمرر سيارة الإسعاف,,,,"اِنْسَحَبَ, تَرَاجَعَ"
1999581,"go forward, proceed, continue",move ahead; travel onward in time or space,We proceeded towards Washington; She continued in the direction of the hills; We are moving ahead in time now,"وَاصَلَ, تَابَعَ, [تَحَرَّكَ],[ تَقَدَّمَ]",يستمر ويمضي قدماً,واصلنا التقدم نحو البحيرة. لن أتابع العمل دون عقد," تَحَرَّكَ ,  تَقَدَّمَ ",,,"وَاصَلَ, تَابَعَ"
2000767,"process, march",march in a procession,They processed into the dining room,", [شَارَكَ فِي مَوْكِب],[ سَارَ فِي مَوْكِب],[ تَقَدَّمَ], [مَشَى],[ سَارَ]",يسير في موكب منتظم,خرج المتظاهرون في مسيرة للمطالبة بالانتخابات الحرة,"  شَارَكَ فِي مَوْكِب ,  سَارَ فِي مَوْكِب ,  تَقَدَّمَ ,  مَشَى ,  سَارَ ",,خَرَجَ فِي مَسِيرَة,GAP
2002464,follow,"to travel behind, go after, come after",The ducklings followed their mother around the pond; Please follow the guide through the museum,"لَحِقَ, تَبِعَ",يأتي وراء شيء أو أحد ويذهب حيث يذهب,لحق الصيصان بأمهم. تتبعني ابنتي إلى المطبخ,,,,"لَحِقَ, تَبِعَ"
2003250,"precede, lead",move ahead (of others) in time or space,,"[فَاقَ], [عَلا], سَبَقَ, تَقَدَّمَ",يأتي قبل شيء أو شخص في الزمان أوالمكان,الهدوء الذي يسبق العاصفة. تقدمت المعلمة تلاميذها إلى الصف," فَاقَ ,  عَلا ",,,"سَبَقَ, تَقَدَّمَ"
2003455,"lead, head",travel in front of; go in advance of others,The procession was headed by John,"قَادَ,[ تَرَأَّسَ],[ تَقَدَّمَ]","يذهب قبل الناس يبين الطريق، يرشد ويدلّ",سأقود هذه المجموعة طوال الرحلة. ,"  تَرَأَّسَ ,  تَقَدَّمَ ",,,قَادَ
2003830,"guide, lead, take, direct, conduct",take somebody somewhere,We lead him to our chief; can you take me to the main entrance?; He conducted us to the palace,قَادَ,يأخذ أحداً إلى مكان ما,هل يمكن أن تقودنا إلى هذا العنوان؟,,,,قَادَ
2004900,"pursue, follow",follow in or as if in pursuit,The police car pursued the suspected attacker; Her bad deed followed her and haunted her dreams all her life,"[تَعَقَّبَ], [لاحَقَ],[ تَتَبَّعَ], طَارَدَ",يبحث عن شيء أو أحد من أجل الإمساك به واعتقاله أو قتله,يطارد الشرطي اللص في الشارع.," تَعَقَّبَ ,  لاحَقَ ,  تَتَبَّعَ ",,,طَارَدَ
2005890,"chase after, trail, tag, go after, track, tail, chase, give chase, dog",go after with the intent to catch,The policeman chased the mugger down the alley; the dog chased the rabbit,"[تَقَفَّى], طَارَد, [تَتَبَّعَ]",يسرع وراءه بنية الإمساك به,طارد النمر الغزال," تَقَفَّى ,  تَتَبَّعَ ",,,طَارَد
2006752,"chase away, dispel, drive away, turn back, drive off, drive out, run off",force to go away; used both with concrete and metaphoric meanings,Drive away potential burglars; drive away bad thoughts; dispel doubts; The supermarket had to turn back many disappointed customers,"أَبْعَدَ, [طَرَدَ]","يجبر أحداً أو شيئاً على الابتعاد عنه، بالمعنى الحرفي والمجازي",الفظاظة خُلُق يُبعد الناس عنك,  طَرَدَ ,,,أَبْعَدَ
2008888,"return, go back, come back, get back","come back to place where one has been before, or return to a previous activity",,"رَجَعَ, عَادَ, [آبَ]","يعود إلى المكان الذي أتى منه، أو إلى النشاط الذي كان يقوم به","نسيت شراء الجبن، علي الرجوع إلى البقالية. سأعود للدراسة من جديد", آبَ ,,,"رَجَعَ, عَادَ"
2009962,"arrive, get, come",reach a destination; arrive by movement or progress,She arrived home at 7 o'clock; She didn't get to Chicago until after midnight,وَصَلَ,يأتي إلى نقطة معينة بالحركة أو بالتقدم,سأتصل بك عندما أصل إلى العمل. وصلت إلى منزلي متأخراً,,,,وَصَلَ
2010848,"reach, hit, attain","reach a point in time, or a certain state or level",The thermometer hit 100 degrees; This car can reach a speed of 140 miles per hour,"بَلَغَ, وَصَلَ إِلَى","يصل إلى نقطة معينة في الزمان، أو إلى مستوى أو حالة",وصلنا إلى مرحلة لا رجعة فيها. وصل منسوب المياه إلى مستويات قياسية,,,,"بَلَغَ, وَصَلَ إِلَى"
2012411,"take leave, depart, quit",go away or leave,,"[فَارَقَ], غَادَرَ, [اِنْصَرَفَ], [ذَهَبَ], رَحَلَ",يذهب إلى مكان ما وخاصة في سفر أو رحلة. سأرحل إلى مكان غير هذا,غادرت باريس إلى لندن أمس," فَارَقَ ,  اِنْصَرَفَ ,  ذَهَبَ ",,,"غَادَرَ, رَحَلَ"
2013448,"go forth, go away, leave",go away from a place,At what time does your train leave?; She didn't leave until midnight; The ship leaves at midnight,غَادَرَ,يترك المكان وينصرف ,تغادر الطائرة عند السادسة,,,,غَادَرَ
2018017,"start out, part, start, take off, depart, set off, set forth, set out",leave,The family took off for Florida,"[فَارَقَ], إِنْطَلَقَ,[ اِنْصَرَفَ], [ذَهَبَ], [رَحَلَ], غَادَرَ",يذهب إلى مكان آخر,انطلقوا في رحلة إلى البحر. غادر متجهاً إلى فلوريدا," فَارَقَ ,   اِنْصَرَفَ ,  ذَهَبَ ,  رَحَلَ ",,,"إِنْطَلَقَ, غَادَرَ"
2019450,"go out, get out, exit, leave",move out of or depart from,leave the room; the fugitive has left the country,"تَرَكَ,[ ذَهَبَ],[ رَحَلَ], غَادَرَ, [نَزَحَ], خَرَجَ",يخرج من مكانه,ترك منزله. غادر البلاد بحثاً عن عمل أفضل. خرجوا من بلادهم هرباً من الحرب,"  ذَهَبَ ,  رَحَلَ ,  نَزَحَ ",,,"تَرَكَ, غَادَرَ , خَرَجَ"
2020375,"come in, go into, get into, enter, move into, get in, go in",to come or go into,the boat entered an area of shallow marshes,دَخَلَ,يأتي إلى داخل شيء أو مكان,ادخل إلى الصف. دخلت غرفتي لأنام,,,,دَخَلَ
2024442,"arrive at, make, attain, hit, gain, reach","reach a destination, either real or abstract",We hit Detroit by noon; The water reached the doorstep; We barely made it to the finish line; I have to hit the MAC machine before the weekend starts,وَصَلَ,"يبلغ مسافة أو مدىً، بالمعنى الحرفي أو النظري",وصلت الثلوج إلى علو مترين. وصل إلى مستوى جيد من الاحتراف,,,,وَصَلَ
2026953,"meet, run across, run into, come across, see, encounter",come together,I'll probably see you at the meeting; How nice to see you again!,قَابَلَ,يجتمع أو يلتقي بأحد ,سررتُ بمقابلتكم جميعاً. قابلته بعد غياب خمس سنوات,,,,قَابَلَ
2027446,congregate,"come together, usually for a purpose",The crowds congregated in front of the Vatican on Christmas Eve,"تَجَمْهَرَ, تَجَمَّع",يحتشدون في مجموعة وأعداد كبيرة لغرض معين,تجمهر المتظاهرون أمام السفارة. تجمّع الناس عند باب المسرح,,,,"تَجَمْهَرَ, تَجَمَّع"
2029396,accompany,go or travel along with,The nurse accompanied the old lady everywhere,"صَاحَبَ,[ لازَمَ], رَافَقَ",يذهب أو يتنقل بوجود شيء أو شخص يلازمه في نفس الوقت ,سأصاحبك في سفرك غداً. هل ترافقني لنشاهد المباراة؟,  لازَمَ ,,,"صَاحَبَ, رَافَقَ"
2031458,"crowd together, crowd",to gather together in large numbers,men in straw boaters and waxed mustaches crowded the verandah,"اِكْتَظّ, [كَظَّ], [تَجَمَّع],[ اِحْتَشَدَ]",يجتمعون ويزدحمون في أعداد كبيرة,اكتظ السوق بالمتسوقين. ," كَظَّ ,  تَجَمَّع ,  اِحْتَشَدَ ",,,اِكْتَظّ
2032212,"stream, swarm, pullulate, teem, pour",move in large numbers,people were pouring out of the theater; beggars pullulated in the plaza,"تَدَفَّقَ, اِنْدَفَعَ",يتحركون في مجموعات وأعداد كبيرة.,يتدفق السياح صيفاً إلى شواطئ البحر. اندفع الناس لشراء المنتج العصري الجديد,,,,"تَدَفَّقَ, اِنْدَفَعَ"
2032840,"dissipate, scatter, disperse, spread out",move away from each other,The crowds dispersed; The children scattered in all directions when the teacher approached,"اِنْفَضَّ, تَفَرَّقَ, [اِنْتَشَرَ]",يتفرّقون ويبتعدون عن بعضهم بعد اجتماعهم سوية,انفض المتظاهرون عند إلقاء القنابل الغازية. تفرق الجمهور كل في طريقه. ,  اِنْتَشَرَ ,,,"اِنْفَضَّ, تَفَرَّقَ"
2034003,"separate, part, split",go one's own way; move apart,The friends separated after the party,"[اِنْفَصَلَ], اِفْتَرَقَ, [تَفَارَقَ], تَفَرَّقَ",يبتعد ويذهب في وجهته الخاصة,افترق الأطفال بعد خروجهم من المدرسة. تفرق الناس بعد المباراة," اِنْفَصَلَ ,  تَفَارَقَ ",,,"اِفْتَرَقَ, تَفَرَّقَ"
2035003,"separate, divide",make a division or separation,,فَصَلَ,يعمل على فصل أو تقسيم الناس أو الأشياء,فصل المعلم التلاميذ إلى ثلاث مجموعات,,,,فَصَلَ
2036982,bend,change direction,The road bends,"اِنْعَطَفَ, [اِنْحَنَى],[ اِلْتَوَى],[ تَقَوَّسَ], [اِنْعَرَجَ], [اِنْثَنَى]",يكون مستقيماً ويميل اتجاهه,ينعطف الطريق يميناً بعد إشارة المرور," اِنْحَنَى ,  اِلْتَوَى ,  تَقَوَّسَ ,  اِنْعَرَجَ ,  اِنْثَنَى ",,,اِنْعَطَفَ
2038145,"deflect, bend, turn away","turn from a straight course , fixed direction, or line of interest",,"[اِنْعَطَفَ],[ تَجَنَّبَ], إِنْحَرَفَ, اِبْتَعَدَ,[ اِنْشَقَّ]",يبتعد عن المسار المستقيم أو الوجهة الثابتة أو مجال الاهتمام,نجح في إبعاد الشكوك عنه. لحسن الحظ انحرفت الرصاصة نحو السقف. ابتعد عن الطب واتجه إلى السياسة.," اِنْعَطَفَ ,  تَجَنَّبَ ,   اِنْشَقَّ ",,,"إِنْحَرَفَ, اِبْتَعَدَ"
2039764,"flex, bend",form a curve,The stick does not bend,"اِنْثَنَى,[ اِلْتَوَى], اِنْحَنَى",يشكّل منحنياً من عصا وما شابه,لا يمكن ثني ساقها بسبب الإصابة. انحنِ لأمام والمس أصابع قدميك,  اِلْتَوَى ,,,"اِنْثَنَى, اِنْحَنَى"
2040935,"slope, pitch, incline",be at an angle,The terrain sloped down,"اِنْحَدَرَ,[ مَالَ]",يشكل زاوية إلى الأسفل مع السطح الأفقي,ينحدر الطريق الجبلي هنا حتى يصل إلى البحر. خفف السرعة فالطريق ينحدر بشكل خطر,  مَالَ ,,,اِنْحَدَرَ
2042202,"tilt, lean, slant, angle, tip",to incline or bend from a vertical position,She leaned over the banister,"[اِنْحَرَفَ],[ اِنْحَنَى], مَالَ",ينحرف عن الوضع العمودي,مالت عليها أشعة الشمس. مالت على كتفه," اِنْحَرَفَ ,  اِنْحَنَى ",,,مَالَ
2045722,"crumple, tumble, crumble, break down, collapse",fall apart,the building crumbled after the explosion; Negotiations broke down,"اِنْهَارَ, [سَقَطَ],[ تَكَوَّمَ], تَقَوَّضَ,[ تَسَاقَطَ],[ تَفَسَّخَ], تَفَتَّتَ",يسقط متكوماً في كتلة مسحوقة ,انهارت بعض المباني إثر الزلزال. تقوّض الجسر بسبب ثقل الشاحنات. تفتت الخشب المتهالك عند الاصطدام," سَقَطَ ,  تَكَوَّمَ ,   تَسَاقَطَ ,  تَفَسَّخَ ",,,"اِنْهَارَ, تَقَوَّضَ , تَفَتَّتَ"
2047080,"circulate, pass around, pass on, distribute",cause to be distributed,This letter is circulating among the faculty,"[أَشَاعَ], فَرَّقَ,[ نَشَرَ], [أَعْطَى], وَزَّعَ",يعمل على توزيع شيء للعامة,فرّقت بعض المال على المحتاجين. وزّعَت المعلمة الأوراق على التلاميذ," أَشَاعَ ,  نَشَرَ ,  أَعْطَى ",,,"فَرَّقَ , وَزَّعَ"
2048992,"go around, revolve, rotate",turn on or around an axis or a center,The Earth revolves around the Sun; The lamb roast rotates on a spit over the fire,"دَارَ, [لَفَّ]",يدور حول محور أو مركز,تدور الأرض حول الشمس. تدور العجلة ببطء,  لَفَّ ,,,دَارَ
2053645,"pass, overtake, overhaul",travel past,The sports car passed all the trucks,"تَجَاوَزَ, [غَالَبَ], [تَغَلَّبَ عَلَى], تَخَطَّى",يسبقه ويتقدمه,بقي في المقدمة حتى استطاع خصمه تجاوزه. تخطّت سيارته صفاً من المركبات," غَالَبَ ,  تَغَلَّبَ عَلَى ",,,"تَجَاوَزَ , تَخَطَّى"
2054081,"pass, go through, go across",go across or through,We passed the point where the police car had parked; A terrible thought went through his mind,"[تَجَاوَزَ], اِجْتَازَ, مَرَّ",يَعْبر خلال أو يمرّ بشيء,اجتزنا حاجزاً للشرطة. يمرّ بفترة صعبة, تَجَاوَزَ ,,,"اِجْتَازَ, مَرَّ"
2055618,"surpass, go past, travel by, pass by, pass, go by",pass by,A black limousine passed by when she looked out the window; He passed his professor in the hall; One line of soldiers surpassed the other,"[تَجَاوَزَ],[ تَخَطَّى],[ جَاوَزَ]، ( مر ّ )",يمر بجانب شخص أو شيء ليتجاوزه,لوّحوا بأيديهم عندما مروا من أمامنا. مرّ بجانبها ولم تهتم لأمره," تَجَاوَزَ ,  تَخَطَّى ,  جَاوَزَ ",  مر ّ  ,, مر ّ 
2056400,"pass, make pass",cause to pass,She passed around the plates,"[مَرَّ]، (مرّر)", يجعله يمرّ,مرر الأوراق على جميع الطلاب. مررت طبق الحلوى على الجميع, مَرَّ , مرّر ,,مرّر
2057865,"near, draw close, approach, go up, come near, draw near, come on",move towards,We were approaching our destination; They are drawing near; The enemy army came nearer and nearer,"دَنَا, إِقْتَرَبَ",يتقدم نحوه حتى يصبح قريباً,دنا الصبي من أمه وهمس في أذنها شيئاً. اقتربنا من وجهتنا,,,,"دَنَا, إِقْتَرَبَ"
2058913,"stretch out, stretch, extend, unfold",extend or stretch out to a greater or the full length,Unfold the newspaper; stretch out that piece of cloth; extend the TV antenna,"مَدَّ, [بَسَطَ],[ نَشَرَ], فَتَحَ",يفرد بالكامل شيئاً مطوياً,مدّ المفرش على الطاولة. فتحت كرسي الاستلقاء وجلست عليه,"  بَسَطَ ,  نَشَرَ ",,,"مَدَّ, فَتَحَ"
2059573,"speed, hurry, travel rapidly, zip",move very fast,The runner zipped past us at breakneck speed,"أَسْرَعَ, [تَحَرَّكَ بِسُرْعَة]",يتحرك بسرعة كبيرة,"أسرعت السيارة على الطريق السريع. سأسرع في الذهاب إلى صديقي، لن أتأخر",  تَحَرَّكَ بِسُرْعَة ,,,أَسْرَعَ
2060895,drive,cause someone or something to move by driving,She drove me to school every day; We drove the car to the garage,"قَادَ,[ سَاقَ]",يجعل شيئاً أو شخصاً يتحرك من خلال قيادة المركبة,سأقود بك إلى مكان عملك. يقود بي إلى المدرسة يومياً,  سَاقَ ,,,قَادَ
2062372,fidget,move restlessly,The child is always fidgeting in his seat,تَمَلْمَلَ,يقوم بحركات صغيرة متواصلة دون هدف لأنه عصبي أو يشعر بالملل,عادة ما يتململ الأطفال على الكرسي. صار يتململ أثناء عرض المسرحية بسبب الملل,,,,تَمَلْمَلَ
2062918,"rush along, race, pelt along, hotfoot, hie, belt along, bucket along, rush, speed, cannonball along, hasten",step on it,He rushed down the hall to receive his guests; The cars raced down the street," اِنْدَفَعَ, أَسْرَعَ, [عَجَّلَ], [اِسْتَعْجَلَ]",يمشي بسرعة كبيرة ليلحق شيئاً,انطلق بسرعة كبيرة لأنه متأخر على عمله. اندفعت السيارات في السباق.  أسرع لاستقبال قريبه المسافر. ,"   عَجَّلَ ,  اِسْتَعْجَلَ ",,اِنْطَلَقَ بِسُرْعَة,"اِنْدَفَعَ, أَسْرَعَ"
2063698,rush,"run with the ball, in football",,[ هَاجَمَ],يهجم وهو مستحوذ على الكرة,انطلق اللاعب بالكرة فور سماع الصافرة,  هَاجَمَ ,,اِنْطَلَقَ بِالكُرَة,GAP
2064069,"fan out, diffuse, spread, spread out",move outward,The soldiers fanned out,اِنْتَشَرَ,يتوزع للخارج على مساحة واسعة,انتشر الطلاب في باحة المدرسة. ,,,,اِنْتَشَرَ
2065423,"scoot, scud, shoot, dart, dash, flash",run or move very quickly or hastily,She dashed into the yard,", [اِنْطَلَقَ بِسُرْعَة البَرْق],[ عَدَا], [اِنْدَفَعَ كَالسَهْم]",يجري أو يتحرك بسرعة كبيرة,"هرب كلبها، وانطلقت خلفه بسرعة. ستتأخر على المدرسة، انطلق بسرعة","  اِنْطَلَقَ بِسُرْعَة البَرْق ,  عَدَا ,  اِنْدَفَعَ كَالسَهْم ",,اِنْطَلَقَ بِسُرْعَة,GAP
2067699,"crawl, grovel, cower, fawn, creep, cringe",show submission or fear,,"[ذَلَّ], [تَوَدَّد], تَذَلَّلَ, [تَمَلَّقَ], [تَزَلَّف], [خَضَعَ], [خَافَ]","يتصرف تجاه أحدهم بطريقة تظهر أنه صغير وأقل شأناً منه وأنه الأقوى، بوجه متجه نحو الأرض وبحرص شديد لإرضاء الشخص",يتذلل الكلب عند قدمي صاحبه عندما يرتكب خطأً. ," ذَلَّ ,  تَوَدَّد ,  تَمَلَّقَ ,  تَزَلَّف ,  خَضَعَ ,  خَافَ ",,,تَذَلَّلَ
2070438,"flow, flux",move or progress freely as if in a stream,The crowd flowed out of the stadium,"تَدَفَّقَ,[ اِنْهَالَ]",يتحرك باتجاه واحد باستمرار وسلاسة,  تدفقت الحمم البركانية على جوانب التلة. تدفق الجمهور إلى المسرح,  اِنْهَالَ ,,,تَدَفَّقَ
2070867,"run, feed, flow, course","move along, of liquids",Water flowed into the cave; the Missouri feeds into the Mississippi,"تَدَفَّقَ,[ صَبَّ], جَرَى, [سَالَ]",يتحرك بسلاسة واستمرارية ( للسوائل ),يتدفق الدم في العروق. جرى الماء من الصنبور,"  صَبَّ ,  سَالَ ",,,"تَدَفَّقَ, جَرَى"
2073176,pour,flow in a spurt,Water poured all over the floor,اِنْسَكَبَ,يتدفق عشوائياً بسرعة وبكميات كبيرة,انسكب الحليب من يد الطفل,,,,اِنْسَكَبَ
2073479,pour,cause to run,pour water over the floor,"[دَفَقَ], [صَبَّ], سَكَبَ",يتسبب بانسكابه عشوائياً,سأسكب الماء على الأرض لأنظفها," دَفَقَ ,  صَبَّ ",,,سَكَبَ
2074802,"filter, trickle, dribble","run or flow slowly, as in drops or in an unsteady stream",water trickled onto the lawn from the broken hose; reports began to dribble in,"رَشَحَ, تَسَرَّبَ,[ قَطَّرَ], [سَالَ]",يجري أو يتدفق ببطء كما لو كان بشكل قطرات أو أو انسياب غير ثابت,يتسرب الماء من الشقوق في الصخور.  رشح المطر من السقف,"  قَطَّرَ ,  سَالَ ",,,"رَشَحَ, تَسَرَّبَ"
2075070,drip,fall in drops,Water is dripping from the faucet,"قَطَّرَ, تَقَطَّرَ",يتساقط بشكل قطرات ,تقطّر الماء من الصنبور,,,,"قَطَّرَ, تَقَطَّرَ"
2076777,"elapse, slide by, lapse, go along, slip by, slip away, pass, glide by, go by",pass by,three years elapsed,"[اِنْقَضَى], مَضَى, مَرَّ",يتجاوز وينتهي (الوقت),مضت سبع سنوات على إنشاء الشركة. مر عشرون عاماً على زواجنا, اِنْقَضَى ,,,"مَضَى, مَرَّ"
2078906,"escape, get away, break loose",run away from confinement,The convicted murderer escaped from a high security prison,"أَفْلَتَ, [فَلَتَ], [فَرَّ], [هَرَبَ]",يتحرر من الحجز أو التقييد,أفلت السجين من القيود. أفلت الأسد من القفص. ," فَلَتَ ,  فَرَّ ,  هَرَبَ ",,,أَفْلَتَ
2079296,"take to the woods, lam, run, scarper, run away, bunk, turn tail, head for the hills, break away, scat, escape, fly the coop, hightail it",flee; take to one's heels; cut and run,"If you see this man, run!; The burglars escaped before the police showed up","[وَلَّى هَارِبَاً], هَرَبَ, [فَرَّ], [وَلَّى الأَدْبَار]",يغادر بسرعة,هرب اللص من النافذة. ," وَلَّى هَارِبَاً ,  فَرَّ ,  وَلَّى الأَدْبَار ",,,هَرَبَ
