PWN Synset ID,English lemmas,English Gloss,English Examples,Arabic lemmas or Gap,Arabic gloss,Arabic examples,Phrase
10365929,nationalist leader,the leader of a nationalist movement,,"قائِد قَوْمِيّ,زعيم وطني","من يرأس الحركة القومية، ", من صفات القائد القومي أنه منبع الشعور القومي للأمة والموحد لها ومحررها من الاحتلال. كان مصطفى كامل زعيماً وطنياً مصرياً.,
10366245,"natural scientist, naturalist",a biologist knowledgeable about natural history (especially botany and zoology),,عالِم الطَّبِيعَة,عالِم الأحياء الخبير بعلم النبات أو الحيوان أو الكائنات الأخرى,يدرس علماء الطبيعة العلاقة بين الكائنات الحية وبيئاتها,
10367324,naval officer,an officer in the navy,,ضابِط بَحْرِيّ,ضابط ( مسؤول عسكري ) في الأسطول البحري مسؤول عن  سلامة طاقم العمل والمعدات والمراقبة من على برج السفينة,تمت استشارة الضابط البحري لإجراء بعض المناورات في البحر,
10369951,"nazi, german nazi",a German member of Adolf Hitler's political party,,النَّازيّ,عضو في الحزب السياسي الذي يقوده أدولف هتلر والقائم على النظام الدكتاتوري الاستبدادي,ارتكب الحزب النازي ما سمي بالمحرقة بحق اليهود والغجر والمعاقين في عهد هتلر,
10371605,"treater, negotiant, negotiator",someone who negotiates (confers with others in order to reach a settlement),, مُفَاوِض,من يقوم بالحوار الهادف إلى فض النزاع والتوصل إلى اتفاق على مسار العمل وصياغة نتيجة ترضي جميع الأطراف,يجب أن يكون لدى المفاوض مهارات في الإقناع,
10372030,"neighbor, neighbour",a person who lives (or is located) near another,,جَار,الشخص الذي يجاورك في السكن أو يسكن قريباً منك,كل الجيران هنا أناس طيبون,
10386665,nurse,one skilled in caring for young children or the sick (usually under the supervision of a physician),,"مُمَرِّض ,ممرضة",الشخص المسؤول عن رعاية المريض داخل المشفى ومراقبة حالته الصحية بإشراف الطبيب,يعمل ممرضاً مساعداً للطبيب. يقال إن الممرضات هن ملائكة الرحمة.,
10390920,office-bearer,the person who holds an office,,موظف في مكتب,الشخص المسؤول عن مكتب في مؤسسة أو مديرية,تنافس العديد من المرشحين على نيل وظيفة مسؤول في مكتب. استدعى المدير جميع موظفي المكاتب إلى اجتماع طارئ,
10391149,"officeholder, officer",someone who is appointed or elected to an office and who holds a position of trust,he is an officer of the court; the club elected its officers for the coming year,مُوَظَّف,شخص ذو منصب يعمل في مكتب حكومي ويكون عادة منتخباً أومعيناً من قبل الحكومة,"موظف في المحكمة،   موظف في دائرة المالية",
10392072,"official, functionary",a worker who holds or is invested with an office,,مُوَظَّف رَسْمِي ,من يكون مسؤولاً عن إدارة  مكتب أو يستثمر مع أحد المكاتب,قام صاحب الشركة  بتعيينه الموظف الرسمي المسؤول عن الإدارة,
10393500,"federal agent, agent",any agent or representative of a federal agency or bureau,,وكيل فدرالي,الوكيل أو الممثل لمكتب الاتحاد الفدرالي,,
10393697,"progeny, issue, offspring",the immediate descendants of a person,she was the mother of many offspring; he died without issue, نَسْل,الابن المباشر للوالدين,توفي دون أن يكون له نسل. ,
10395205,"greybeard, old man, methuselah, graybeard",a man who is very old,," مُسِنّ,رَجُل عَجُوز",الشخص المتقدم في العمر,علينا أن نعامل المسنين معاملة خاصة. إنه رجل عجوز ويحتاج المساعدة,
10396222,"oldster, golden ager, senior citizen, old person",an elderly person,,عَجُوز,الشخص المتقدم في العمر,ساعدت رجلاً عجوزاً في عبور الشارع,
10396720,old woman,a woman who is old,,"عَجُوز,إِمْرَأَة مُسِنَّة",المرأة المتقدمة في العمر, أمي امرأة عجوز طيبة القلب حكيمة. كانت تلك المرأة المسنة هي والدة هذا الشاب.,
10398111,"manipulator, operator",an agent that operates some apparatus or machine,the operator of the switchboard, مُشَغِّل,الأداة أو الوسيلة التي تشغل محرك جهاز ما,يحتاج المشغل إلى وصله بالكهرباء ليعمل,
10399319,"opposition, opponent, opposite",a contestant that you are matched against,, خَصْم,من تتنافس معه في سباق,فزنا على الخصم بهدفين لهدف.,
10400371,"rhetorician, public speaker, orator, speechifier, speechmaker",a person who delivers a speech or oration,,خَطِيب,من يلقي الخطب والكلمات أمام جمهور الناس ويكون فصيحاً بارعاً في الكلام,ألقى الخطيب خطبة قبل الصلاة,المتحدث على الملأ
10403204,"organizer, labor organizer, organiser",someone who enlists workers to join a union,,مُنَظِّم عُمَّالِيّ,من يقوم بتنظيم العمال بإدراجهم في قائمة الاتحاد العمالي,كان المنظم العمالي موكلاً بتنظيم لائحة العمال الجدد,
10403515,"originator, mastermind, conceiver",someone who creates new things,," مُبْتَكِر, مُنْشِئ ,مبدع",أول من يفكر بأشياء جديدة ويوجدها في الواقع,"مبتكر منظومة الطاقة الشمسية. الله تعالى هو منشئ الكون. إنها المبدعة التي تصمم فساتين جديدة،   ",
10408139,"master, overlord, lord",a person who has general authority over others,,"مَوْلَى,سَيِّد أَعْلَى",من لديه سلطة على الآخرين,"الرب هو مولى البشر،   الأب هو السيد الأعلى في العائلة",
10408623,"owner, proprietor",(law) someone who owns (is legal possessor of) a business,he is the owner of a chain of restaurants,"صَاحِب, مَالِك",من يمتلك العمل ( قانونياً ) بحيث تكون له حرية التصرف فيه,"صاحب الشركة التجارية، مالك المصنع",مالك شيء بالقانون
10409097,"owner, possessor",a person who owns something,they are searching for the owner of the car; who is the owner of that friendly smile?,"صَاحِب, مَالِك",من يملك شيئاً ,"إنها صاحبة الشعر الأشقر، مالك السيارة الحمراء",صاحب أي شيء
10409898,"pacifist, disarmer, pacificist",someone opposed to violence as a means of settling disputes,,"مُسالِم,رَافِض لِلْعُنْف",من يعارض العنف والحرب كوسيلة لتسوية النزاعات ويلجأ إلى الحلول المسالمة,حلوله المسالمة لم تكن منطقية ضمن الجيش. إنه رافض للعنف ويميل لحل النزاعات سلمياً,
10411352,painter,an artist who paints,,رَسَّام,الفنان الذي يرسم باستخدام الفرشاة,سيعرض الرسام لوحاته الجميلة في المعرض الفني غداً,
10419190,parent,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian,,والِدَان,"الأم والأب، من ينجب الأطفال ويربيهم",على الابن إرضاء والديه,أحد الوالدين
10421831,"drumbeater, partisan, zealot",a fervent and even militant proponent of something,," مُتَعَصِّب, نَصِير",من يدعو ويؤيد  ويتعصب لحزب أو لشيء ويتكلم لصالحه, المتعصب للديمقراطية. نصير الرياضة.,
10422030,partitionist,an advocate of partitioning a country,,GAP,من يؤيد تقسيم البلاد تقسيماً جيوسياسياً,كانت الأمم المتحدة من المؤيدين لقرار تقسيم فلسطين إلى دولتين,
10422162,partner,a person who is a member of a partnership,,شَرِيك,من يكون عضواً في شراكة ويشترك مع الآخر في كل شيء يخص هذه الشراكة وما ينتج عنها,"الشريك في مؤسسة، شريك الحياة",
10422569,party,a person involved in legal proceedings,the party of the first part,طَرَف,"الشخص أو المجموعة التي تنطبق عليها الإجراءات القانونية في المعاملات، أو المشاركين في الحوارات",البائع والشاري هما الطرفان الرئيسيان في العقد,
10423621,"passenger, rider",a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it,,مُسَافِر,الذي ينتقل من بلد لآخر راكباً  إحدى وسائل النقل لكن ليس هو من يقودها,على المسافرين في الرحلة 195  التوجه إلى قاعة المغادرة,أحدالركاب في السفر
10425155,patentee,the inventor to whom a patent is issued,,صَاحِب بَرَاءَة اِخْتِرَاع,"الشخص أو الشركة التي تم منحها براءة الاختراع ، وهو الذي يقرر من يحق له الانتفاع بالاختراع",كانت شركة سامسونج الكترونكس صاحبة براءة اختراع عام 2020,
10425439,patient,a person who requires medical care,the number of emergency patients has grown rapidly,مَرِيض ,من يعاني مشاكل في صحته ويتطلب العلاج والدواء,يجب على المريض زيارة الطبيب ليصف له العلاج المناسب,
10426136,patriarch,any of the early biblical characters regarded as fathers of the human race,,بَطْرِيَرْك,"من الشخصيات المسيحية القديمة التي تشير إلى من يمارس السلطة بوصفه الأب أو ""الأب الرئيس"" ، وهو عند الطوائف المسيحية رئيس رؤساء الأساقفة",البطريرك الحالي للروم الأرثوذوكس هو يوحنا العاشر يازجي,
10427055,"patriot, nationalist",one who loves and defends his or her country,,"قَوْمِيّ, وَطَنِيّ",من يعمل على نصرة وطنه ويدعو إلى استقلال بلاده , يؤمن القوميون بوجوب معاونتهم لقومهم وجلب المنفعة لهم. يطالب الوطنيون بالاستقلال.,
10427297,patroller,someone on patrol duty; an individual or a member of a group that patrols an area,,رَجُل في دَورِيّة,شخص أومجموعة حراس أو شرطة يقومون بجولة في مهمة أمنية لضمان استتباب الأمن وعدم حصول الحوادث,طاف أحد رجال الدوريات في المنطقة لضمان خلوها من اللصوص,
10427471,"frequenter, patron",a regular customer,,زَبُون دائِم,الشخص الذي يحصل على حاجاته أو خدماته من تاجر واحد,"اهتموابه فإنه زبون دائم للمطعم،    أحصل على أشيائي بأسعار جيدة لأني زبون دائم",
10428069,patron,the proprietor of an inn,,صاحِب الحانَة,الشخص الذي يملك محل المشروبات الروحية,استضافه صاحب الحانة وقدم له مشروباً,
10428297,patron saint,a saint who is considered to be a defender of some group or nation,,شفيع,الشخص أو الملاك الذي يدافع عن مجموعة ارتكبت  ذنوباً,بعض الملائكة يكونون شفعاء  للمذنبين يوم القيامة,
10429379,payee,a person to whom money is paid,,"المَدْفُوع لَه,مستلم المبلغ",الشخص الذي يُدفع له المال , وقّع هنا بأنك المدفوع له. عليك أن تدفع المال له فهو مستلم المبلغ.,
10429497,"remunerator, payer",a person who pays money for something,,دَافِع  ,الشخص الذي يدفع المال مقابل سلعة أو خدمة,كنت دافعاً لإيجار المنزل لأكثر من خمسة أعوام,دافع المال
10429991,peacekeeper,a member of a military force that is assigned (often with international sanction) to preserve peace in a trouble area,,فَرْد من قُوَّات حِفْظ السَّلام,شخص من قوات حفظ السلام العسكرية التابعة للأمم المتحدة تم تعيينه لحفظ السلام والأمن في   المناطق الواقعة تحت الحرب ,من مهمات قوات حفظ السلام حماية المدنيين ومنع نشوب الصراعات,
10431296,"pedlar, peddler, packman, hawker, pitchman",someone who travels about selling his wares (as on the streets or at carnivals),,بائِعٌ مُتَجَوِّل,البائع الذي ينتقل من مكان لآخر ليعرض بضاعته في الطرقات والشوارع ويبيعها,عادة تكون الأسعار عند الباعة المتجولين أرخص منها في المحلات النظامية,
10432655,peer,a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage,,النَّبِيل,"أحد أفرادالنبلاء من الطبقة الحاكمة في بريطانيا كالدوق، الماركيز، الإيرل، أو البارون",كان تشارلز الثالث أحد النبلاء في بريطانيا قبل أن يصبح الملك,
10433021,peer of the realm,a peer who is entitled to sit in the House of Lords,,نَبِيل في مَجْلِس الأعْيان,عضو من النبلاء ممن يحق لهم  الجلوس في مجلس الأعيان,من حق نبيل المملكة أن يخاطب بلقب لورد أو ليدي,
10434357,"pensioner, pensionary",the beneficiary of a pension fund,, مُتَقَاعِد,المستفيد من تعويض التقاعد  بعد تقاعده في في عمر كبير,يستفيد المتقاعدون من منحة حكومية قدرها  مئة دولار,
10435383,"performer, performing artist",an entertainer who performs a dramatic or musical work for an audience,,"مُؤَدِي, فَنَّان",من يقوم بأداء تمثيلي أو موسيقي للجمهور بهدف التسلية,إنه مجرد مؤدٍّ ولا يملك أي حس فني. إنه فنان كوميدي يجيد إضحاك الناس. ,
10438586,"persuader, inducer",someone who tries to persuade or induce or lead on,,"مُحَرِّض ,مقنع",من يجعل أحداً يعتقد أو يفعل شيئاً بإعطائه أسباباً جيدة ليفعل ذلك, احتوى خطابه كلاماً محرضاً. كان مقنعاً ممتازاً جعلني أعدل عن فكرتي تماماً.,
10441701,"philanthropist, altruist",someone who makes charitable donations intended to increase human well-being,," مُحْسِن,فاعِلُ خَيْر","من يساعد بكل فعل فيه مصلحة للجميع، ومن يساهم في جعل التبرعات تصب في تحسين معيشة الناس",قام فاعل الخير بجمع التبرعات لتزويج عدد من الشباب. إنه محسن إلى الفقراء,
10443334,philosopher,a specialist in philosophy,, فَيْلَسُوف,الشخص الذي يمارس الفلسفة ويفكر من خلالها ويؤلف فيها محاولاً الإجابة عن الأسئلة الفلسفية الشهيرة حول قضايا يواجهها الإنسان حول مكانته في الكون,"بعض الفلاسفة المشهورين: أرسطو، أفلاطون، سقراط",
10447768,physicist,a scientist trained in physics,," فِيزيائِيّ,اِخْتِصَاصِيُّ الفيزياء",العالم المختص بالفيزياء التي تشمل تفاعلات المادة والطاقة في جميع مقاييس الطول والوقت في الكون المادي," يدرس اختصاصيو الفيزياء مفاهيم الحركة والقوة والطاقة. من أشهر الفيزيائيين: نيوتن، أرخميدس، أينشتاين.",
10449729,physiologist,a biologist specializing in physiology,," فِيزْيُولُوجِيّ,اِخْتِصَاصِيّ فيزْيُولُوجْيا",المختص بالوظائف الحيوية للكائنات الحية وكيفية عمل كل عضو," يدرس اختصاصيو الفيزيولوجيا علم وظائف الأعضاء. ينقسم الفيزيولوجيون إلى علماء نبات، علماء وراثة، وعلماء فيزياء حيوية الخ.",
10451534,picket,a protester posted by a labor organization outside a place of work,,معتصم ,أحد المعارضين ضمن مجموعةعمال يرسل إلى خارج بناء العمل ليمنع باقي العمال من الدخول للعمل,وقف أحد المعتصمين على بوابة الشركة لمنع باقي العمال من الدخول,مضرب عن العمل
10458237,plant,an actor situated in the audience whose acting is rehearsed but seems spontaneous to the audience,,مُمَثِّل وَسَط الجُمْهُور,أحد الممثلين الجالسين وسط الجمهور الذين تدربوا على نمط تمثيل معين لكنه يبدو عفوياً ليجذب انتباه الجمهور ,أوحى الممثل الجالس وسط الجمهور أنه يتحدث معهم ضمن مسرحيته ,
10459618,"participant, player",a person who participates in or is skilled at some game,,"لاَعِب,   مُشَارِك ",من يشارك في أحد الألعاب أو يكون خبيراً بها, نيمار لاعب في المنتخب البرازيلي. المنتخب البرازيلي مشارك في كأس العالم.,
10463768,poet,a writer of poems (the term is usually reserved for writers of good poetry),,شَاعِر,من يكتب القصائد ذات الوزن المنظوم ,وليم شكسبير كان من أشهر شعراء عصر النهضة,
10468557,"police officer, policeman, officer",a member of a police force,"it was an accident, officer"," شُرْطِي,رَجُل شُرْطَة",رجل أمن تنحصر مهمته في الحفاظ على أمن البلاد والحد من الاضطرابات المدنية وهو يعمل تحت القانون,استطاع الشرطي القبض على المشتبه بهم في أقل من يوم. ترتبط صورة رجال الشرطة في الأذهان بالشجاعة والقوة,
10469877,"politician, politico, political leader, pol",a person active in party politics,,سِيَاسِيّ,شخص ممن ينتمون إلى حزب سياسي ويسعى إلى بلوغ السلطة السياسية داخل الحكومة,المحافظ هنا سياسي متمرس,
10470837,politician,a leader engaged in civil administration,, سِيَاسِي,عضو قائد  في الإدارة المدنية,معظم السياسيين يسعون للاحتفاظ بمناصبهم,
10473089,"bishop of rome, catholic pope, roman catholic pope, pope, holy father, vicar of christ, pontiff",the head of the Roman Catholic Church,," البابا,بابا الكاثُولِيك الرُّومان,أسْقُف روما","البابا، أسقف روما ورأس الكنيسة الكاثوليكية خليفة القديس بطرس",البابا فرنسيس هو أسقف روما وسيد دولة الفاتيكان وبابا  الكاثوليك الرومان,
10480990,"power, force",one possessing or exercising power or influence or authority,the mysterious presence of an evil power; may the force be with you; the forces of evil," قُدْرَة, سُلْطَان",من يملك ويمارس السلطة والقدرة والتأثير على الغير ,لا تستخف بقدرته. إنه ذو سلطان وجبروت,
10481313,influence,one having power to influence another,she was the most important influence in my life; he was a bad influence on the children,مؤثر,من يتسبب بتغيير السلوك أو الاعتقاد أو تغيير شيء,كان هو المؤثر الأكبر في حياتي ,
10486484,preserver,someone who keeps safe from harm or danger,," حَفِيظ, حَافِظ",من يقوم بالحفاظ على الشيء من الخطر وحمايته من أي سوء, تعينتُ حفيظاً على أموال الخزنة. ربنا هو الحافظ للبشر.,
10486745,president,the chief executive of a republic,,رَئِيس,الشخص الأعلى المسؤول رسمياً عن إدارة الجمهورية ويعين بالانتخابات,يتم تعيين رئيس الجمهورية بالانتخابات الديمقراطية,رئيس الدولة
10486961,"president of the united states, president, chief executive, united states president",the person who holds the office of head of state of the United States government,the President likes to jog every morning,رَئِيس الولايات المُتَّحِدَة,الشخص القائم على رأس البلاد والمسؤول الأعلى عنها  في الولايات المتحدة الأمريكية,جو بايدن هو الرئيس الحالي للولايات المتحدة الأمريكية,
10488144,president,an executive officer of a firm or corporation,,رَئِيس,المسؤول التنفيذي لإدارة مؤسسة أو شركة بجميع أقسامها,قام رئيس الشركة بوضع حجر الأساس لافتتاح الفرع الجديد,رئيس شركة
10488335,"president, prexy",the head administrative officer of a college or university,, عَمِيد,المدير التنفيذي في الكلية أو الجامعة المسؤول عن جميع أقسامها وطلابها,قام عميد كلية العلوم بافتتاح قسم البيولوجيا الجديد,عميد كلية
10488547,"president, chair, chairperson, chairman, chairwoman",the officer who presides at the meetings of an organization,address your remarks to the chairperson,رئيس الاجتماع,الشخص الذي يرأس اجتماعات الشركة وله الدور الأساسي في فعالية الاجتماع,ألقى رئيس الاجتماع كلمة افتتاحية رحب فيها بالحضور وشكر مشاركتهم,
10488931,presiding officer,the leader of a group meeting,,رَئِيس اِجْتِماع,من يرأس اجتماعات الأقسام أو المجموعات,إن الإعلان عن رئيس الجلسة يحل المسألة وينهي الخلاف,
10490364,priest,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,, كَاهِن,وظيفة دينية في الديانة المسيحية يقوم بالصلاة والطقوس الدينية وخدمة الشعب ويتجمل بالقداسة والطهارة في حياته,يقولون إن الكاهن يمثل المسيح على الأرض,
10492384,prince,a male member of a royal family other than the sovereign (especially the son of a sovereign),,أَمِير,الابن الذكر للملك في العائلة المالكة,الأمير إدوارد هو ابن الملكة إليزابيث,
10493147,prince consort,a prince who is the husband of a reigning female sovereign,,زوج الملكة الحاكمة,زوج الملكة في العائلة الحاكمة وليس حاكماً,الأمير فيليب كان زوج الملكة إليزابيث,
10494882,"printer, pressman",someone whose occupation is printing,, طَبَّاع  ,من يمتهن الطباعة,قام الطباع بطباعة الكتاب كاملاً ,
10495671,"prisoner, captive",a person who is confined; especially a prisoner of war,,"مُعْتَقَل, أَسِيْر",شخص حرم حريته ووضع في السجن وخصوصاً أسرى الحرب, أصدر عفو عام لإخلاء سبيل معتقلي السجون. هناك صفقات تتم بين الدول من أجل تبادل أسرى الحرب.,
10496052,"common soldier, private, buck private",an enlisted man of the lowest rank,our prisoner was just a private and knew nothing of value," مُجَنَّد, جُنْدِي",عسكري بسيط من أدنى الرتب في الجيش ,يخضع المجندون لدورات تدريبية في القتال. ينتمي الجندي إلى مؤسسة عسكرية نظامية,
10496662,"prizefighter, gladiator",a professional boxer,,مُلاكِم مُحْتَرِف,من يمارس  رياضة اللكم باليدين باحتراف,كان محمد علي كلاي ملاكماً محترفاً,
10499603,producer,someone who finds financing for and supervises the making and presentation of a show (play or film or program or similar work),,مٌنْتِج,من يقوم بالإشراف على جميع جوانب إنتاج العمل الفني في التلفزيون أو المسرح أو أي برنامج,قام المنتج بحذف بعض المشاهد الزائدة فأصبح الفيلم أجمل,منتج تلفزيوني أو فني
10499838,"professional, professional person",a person engaged in one of the learned professions,,مُحْتَرِف,من تأسس على تدريب متخصص تعليمي في مجال معين وتمرس فيه وأصبح لديه مستوى عالٍ من الخبرة والكفاءة,"محترف كرة القدم، محترف الطبخ، محترف الغناء",
10500315,"professor, prof",someone who is a member of the faculty at a college or university,, برُوفِيسُور,أحد أعضاء الكلية أو الجامعة الذين يقومون بالتدريس,قدم البروفسور شرحاً وافياً  باستخدام جهاز الإسقاط,
10501805,"promoter, booster, plugger",someone who is an active supporter and advocate,,"نصير,مؤيد,داعم",من يدعم أو يؤيد بحماس,أنصار الحزب الاشتراكي. صوّت المؤيدون بكثافة من أجل فوزمرشحهم في الانتخابات. جمعية داعمة لرعاية المتدربين.  ,
10502506,propagandist,a person who disseminates messages calculated to assist some cause or some government,,مُرَوِّج دِعايات,"من يقوم بنشر بعض المعلومات ( غير دقيقة غالباً ) بهدف الدعاية التي تدعم شيئاً أو حكومة، ولإقناع الناس  بتأييد فكرة أو مجموعة ",لا تكونوا ضحية مروجي الدعاية وتصدقوا كل ما يقولون,
10503475,prophet,someone who speaks by divine inspiration; someone who is an interpreter of the will of God,,نَبِيّ,"شخص اختاره الله  لهداية الناس،يتكلم من وحيه، وينشر رسالته في الأرض",كان الناس يسخرون من الأنبياء بأنهم لا يستطيعون التحدث مع الكيان الأعلى ,
10504111,"proposer, mover",(parliamentary procedure) someone who makes a formal motion,,مقدم إقتراح,من يقدم مقترحاً رسمياً في اجتماع ما حتى تتم مناقشته والتصويت عليه,وافق المجلس على البنود التي قدمها المقترحون,
10508450,psychologist,a scientist trained in psychology,,عَالِم نَفْس,العالم المختص بعلم النفس الذي يدرس العقل والعواطف البشرية والسلوك ويعالج الاضطرابات النفسية والسلوكية,فرويد هو أشهر عالم نفس في العالم,
10510284,"publiciser, publicist, publicizer",someone who publicizes,,وكيل الدعاية و الاعلان,من ينشر ويُشهِر معلومات حول شخص أو شيء بغرض  التعريف به وتأييده,في بداية العام الدراسي يكثر وكلاء الدعاية للترويج لثياب ومستلزمات المدرسة,
10510721,public servant,someone who holds a government position (either by election or appointment),,مُوظَّف حُكُومِيّ,من يشغل  منصباً حكومياً  عن طريق التعيين أو الانتخاب,"إنه موظف حكومي شريف، تم تعيينه موظفاً حكومياً بصفته رئيساً للبلدية",
10511160,"newspaper publisher, publisher",the proprietor of a newspaper,,مالك أحد دور النشر الصحفي,من يملك داراً لطباعة الصحف والمجلات ونشرها,وافق مالك دار النشر على مقترح الصحيفة الإلكترونية,
10516787,quack,an untrained person who pretends to be a physician and who dispenses medical advice,,دَجَّال,من يتظاهر بالمهارة والمعرفة وبأن لديه مؤهلات طبية هو لا يملكها حقاً ويقوم بإسداء نصائح مزيفة للناس بمقابل مالي ,كان على وشك الموت بسبب وصفات الدجال له,
10518940,"queen, queen regnant, female monarch",a female sovereign ruler,,"مَلِكَة, المَلِكَة",الحاكمة الأنثى للبلاد صاحبة الأمر والسلطة,كانت الملكة زنوبيا هي حاكمة تدمر منذ آلاف السنين. كليوباترا ملكة مصر,
10519216,queen of england,the sovereign ruler of England,,مَلِكَة إِنْكلْتَرَة,الحاكمة في بريطانيا الملكة إليزابيث,توفيت الملكة اليزابيث حاكمة بريطانيا في سبتمبر 2022,
10521631,quitter,a person who gives up too easily,,اِنْهِزامِيّ,الشخص الذي يعاني من ضعف في العزيمة كثير الشكوى ضعيف الثقة بنفسه يستسلم بسهولة,الانهزامي شخص لا يبحث عن حقوقه ويشك في قدراته الذاتية,
10523045,radical,a person who has radical ideas or opinions,,"رادِيكالِيّ, ثَوْرِيّ",من يتبع المبادئ السياسية التي تركز على تغيير البنى الاجتماعية باتباع أساليب ثورية,الراديكاليون يتبعون نهج تحقيق الإصلاح الشامل الجذري للمجتمع ويهتمون بجوانبه ومشاكله. يسعى الثوريون إلى الإصلاح عن طريق الثورة والعنف المسلح,
10526355,ranker,an enlisted soldier who serves in the ranks of the armed forces,,عسكري مجند,جندي يخدم في الرتب الأدنى في الجيش,البعض ممن لم يتموا تعليمهم يخدمون في الجيش كعساكر مجندين,
10526508,ranker,a commissioned officer who has been promoted from enlisted status,,ضابِط صَف,الضابط الذي تمت ترقيته  من رتبة المجند,تمت ترقيته إلى رتبة ضابط صف بعد خمس سنوات من الخدمة كمجند,
10528068,"reactionary, ultraconservative, extreme right-winger",an extreme conservative; an opponent of progress or liberalism,,رَجْعِيّ,"المعارض لأي تغييرسياسي أو اجتماعي، المتمسك بآرائه القديمة جداً",جدتي من الرجعيين الذين يرفضون استخدام الأدوات التكنولوجية الحديثة.   يؤمن الرئيس الجديد بأن عليه تغيير بعض الرجعيين في بلاده,
10528303,reader,a person who enjoys reading,,قَارِئ,من يستمتع بقراءة الكتب وتكون هواية له,أبي قارئ جيد للإصدارات العلمية,
10531965,"recruit, military recruit",a recently enlisted soldier,, مُتَطَوِّع,جندي متطوع في الجيش حديثاً,نحتاج لبعض المتطوعين الجدد لدعم الجيش ,متطوع في الجيش
10534787,"crusader, reformist, meliorist, reformer, social reformer",a disputant who advocates reform,,مُصْلِح,من يدعم لتغيير نظام ما أو يخطط لذلك من أجل جعله أحدث وأكثر كفاءة,جاء الرئيس الجديد مصلحاً للفساد في البلاد,
10535887,"trustee, regent",members of a governing board,," قَيِّم, الوصيّ",أعضاء مجلس الإدارة الموكلين بالقيام بشؤون المنظمة المسؤولين عنها,تعيّن قيّماً على صندوق المال. نحن المجموعة الوصية على الموارد الوطنية. ,
10539087,religious leader,leader of a religious order,,زَعِيم دِينِيّ,ممثل مفوض لمنظمة دينية  ذو سلطة تنفذ الأمر الديني,يعتبر البابا زعيماً دينياً,
10540881,repatriate,a person who has returned to the country of origin or whose citizenship has been restored,,عائِد إِلَى اَلْوَطَن,الشخص العائد إلى وطنه الأم أو الذي استعاد وطنيته,عائد إلى الوطن بعد ثلاثين سنة في بلاد الغربة,
10541255,"reporter, newsperson, newsman",a person who investigates and reports or edits news stories,," صُحُفِي, مُرَاسِل,مُرَاسِل صُحُفِي",من تكون وظيفته استخلاص المعلومات عن الأخبار والأحداث الجارية التي تخص أي شيء ثم عرضها على أنواع  الصحافة كالصحف والإذاعة والتلفاز,سيحدثنا المراسل الصحفي عن  كتب الصحفي تقريراً عن المطبخ السوري.  مراسلنا في غزة سيحدثنا عن آخر المستجدات. آخر الأخبار في فلسطين اليوم. ,
10541628,representative,a person who represents others,,"مَنْدُوب, مُمَثِّل",الشخص الموكل من قبل  شخص أو مجموعة ليتصرف ويقرر عنها ويتحدث باسمها,أرسل المدير مندوباً عنه لحضور الاجتماع. تعتبر السفارة ممثلةً لدولتها في البلدان الأخرى,
10542934,reservist,a member of a military reserve,,جندي احتياطي,أحد أعضاء الجيش الاحتياطي الذي يستدعى وقت الحاجة,بسبب الحرب أعلنت الحكومة النفير العام واستدعاء جنود الاحتياط للقتال,
10545011,"retailer, retail merchant",a merchant who sells goods at retail,,تَاجِر تجزئة,من يشتري  البضائع من المنتجين بكميات كبيرة ثم يبيع كميات قليلة إلى المستخدم النهائي,يبيع تاجر التجزئة بضاعته بسعر أكبر من السعر الذي اشتراها به,
10546909,"revolutionist, revolutionary, subverter, subversive",a radical supporter of political or social revolution,, ثَائِر,"الشخص الذي يريد فعلياً تغيير العالم وليس فقط الحديث عن ذلك، وهو مؤيد للثورة وجزء منها",أصر الثوار على الانقلاب على نظام الحكم الفاسد في البلاد,
10549540,rider,a traveler who actively rides an animal (as a horse or camel),, رَاكِب ,من يسافر أو يتنقل راكباً على ظهر حصان أو جمل,يكثر الركاب في الصحراء,راكب الدابة
10550802,"rightist, right-winger",a member of a right wing political party,, يَمِينِيّ,"جناح اليمين هو حزب سياسي أو مجموعة تقليدية في بعض الهيئات التشريعية، يتدخلون في حياة المجتمع للحفاظ على تقاليده",إنه من أعضاء الجناح اليميني في المجلس,
10552570,"contender, rival, challenger, competitor, competition",the contestant you hope to defeat,he had respect for his rivals; he wanted to know what the competition was doing," مُنَافِس,خصم",الشخص الذي تتنافس معه على شيء ما وتتمنى أن تفوز وتهزمه,تقدم المنافسون إلى وظيفة مرموقة في الشركة. كان الخصم قوياً لدرجة أنه فاز بسهولة, 
10556797,"roman emperor, emperor of rome",sovereign of the Roman Empire,,إِمْبرَاطُور رومانيّ,الحاكم الأعلى والقائد للدولة الرومانية خلال الفترة الاستعمارية,أغسطس قيصر كان أول إمبراطور لروما,
10560786,"swayer, ruler",a person who rules or commands,swayer of the universe, حَاكِم,الشخص الذي يحكم ويأمر,أعترف بأنه حاكم أقدر وأقوى من سابقيه,
